Network,Architecture,Tiles,PEs,Cols,Rows,Latency,Energy_per_MAC,EDP,Relative_Latency,Relative_Energy_per_MAC,Combined_Score
resnet18,"T1, P16, C8, R8",1,16,8,8,0.0205520896,0.3341302581358347,0.0068670750032788,1.2307692307692308,0.6998184623362426,0.7205344066287083
resnet18,"T1, P64, C4, R4",1,64,4,4,0.0166985728,0.4774527625641502,0.0079727797142385,1.0,1.0,1.0
resnet18,"T1, P32, C8, R4",1,32,8,4,0.0205520896,0.4405408895398004,0.0090540358342856,1.2307692307692308,0.9226900001036431,1.0908382328116348
vgg16,"T1, P1, C100, R12",1,1,100,12,0.0847773696,1.5724370351132828,0.1333070756985269,0.6346153846153847,0.4133245931451024,0.16863490279425292
vgg16,"T1, P1, C9, R113",1,1,9,113,0.1233125376,1.9289428731196816,0.2378628405698228,0.9230769230769231,0.5070343107092354,0.3332682315073798
vgg16,"T1, P16, C4, R16",1,16,4,16,0.1335885824,2.398171050151505,0.3203682709424588,1.0,0.6303737774306639,0.5004920787485
vgg16,"T1, P4, C8, R32",1,4,8,32,0.1644167168,2.1737627279010807,0.3574029308237074,1.2307692307692308,0.5713866915116088,0.531583890747931
vgg16,"T1, P8, C8, R16",1,8,8,16,0.1644167168,2.2900459713398145,0.3765218399287592,1.2307692307692308,0.6019524459492387,0.5748041639844695
vgg16,"T1, P32, C4, R8",1,32,4,8,0.1335885824,2.8015029577679806,0.3742488087176316,1.0,0.7363920108450199,0.631922184678809
vgg16,"T1, P8, C4, R32",1,8,4,32,0.1644167168,2.556513076057493,0.4203334864216416,1.2307692307692308,0.6719949374351082,0.6779936591844048
vgg16,"T1, P16, C8, R8",1,16,8,8,0.1644167168,2.670011233109727,0.4389944807670208,1.2307692307692308,0.7018286150570258,0.7236411204270731
vgg16,"T1, P64, C4, R4",1,64,4,4,0.1335885824,3.8043635950819423,0.5082195396011644,1.0,1.0,1.0
vgg16,"T1, P32, C8, R4",1,32,8,4,0.1644167168,3.5279525380702537,0.5800543733357382,1.2307692307692308,0.9273436804597183,1.0991012592907146
vision_transformer,"T1, P1, C100, R12",1,1,100,12,0.0103284736,0.1915166510063844,0.0019780746738798,0.888888888888889,0.42890747414246166,0.24968525666946723
vision_transformer,"T1, P4, C8, R32",1,4,8,32,0.0116195328,0.2131491235096072,0.0024766932319111,1.0,0.47735406660352264,0.32980781327883546
vision_transformer,"T1, P8, C8, R16",1,8,8,16,0.0116195328,0.2241045777228937,0.0026039904914813,1.0,0.5018891457729441,0.3555590237632202
vision_transformer,"T1, P1, C9, R113",1,1,9,113,0.0121440256,0.2180484794947589,0.0026479863170254,1.0451388888888888,0.4883263261406117,0.35664752543457534
vision_transformer,"T1, P16, C8, R8",1,16,8,8,0.0116195328,0.2568227414875602,0.0029841602685006,1.0,0.5751624873082172,0.4362001692420512
vision_transformer,"T1, P8, C4, R32",1,8,4,32,0.0116195328,0.2717362627642612,0.0031574484181387,1.0,0.608561780308315,0.4747412955432806
vision_transformer,"T1, P16, C4, R16",1,16,4,16,0.0116195328,0.2795419454569647,0.003248146804213,1.0,0.6260428485605651,0.4953430663849501
vision_transformer,"T1, P32, C4, R8",1,32,4,8,0.0116195328,0.3280181961766899,0.0038114181894718,1.0,0.7346069141017953,0.6296258024891633
vision_transformer,"T1, P32, C8, R4",1,32,8,4,0.0116195328,0.3285594302873396,0.003817707076973,1.0,0.7358190246629327,0.6311847807592361
vision_transformer,"T1, P64, C4, R4",1,64,4,4,0.0116195328,0.4465220649029122,0.0051883777790631,1.0,1.0,1.0
