network,architecture,energy_model,optical_loss_db_per_stage,mapping,stationarity,layers,energy_j,latency_s,edp_j_s,frontier_states,accuracy,accuracy_status
vision_transformer,paper_optimum_8x8,optimistic_constant_symbol,0.0,ASWM-WS,WS,98,17.79044316115614,0.42142632959999976,7.49736116336345,1,,NOT_MODELED
vision_transformer,paper_optimum_8x8,optimistic_constant_symbol,0.5,ASWM-WS,WS,98,17.795416847211467,0.42142632959999976,7.4994572056223285,1,,NOT_MODELED
vision_transformer,paper_optimum_8x8,optimistic_constant_symbol,1.0,ASWM-WS,WS,98,17.80099741475149,0.42142632959999976,7.5018090037178045,1,,NOT_MODELED
vision_transformer,paper_optimum_8x8,linear_bit,0.0,ASWM-WS,WS,98,40.07649306242225,0.42142632959999976,16.889289374536464,9036,,NOT_MODELED
vision_transformer,paper_optimum_8x8,linear_bit,0.5,ASWM-WS,WS,98,40.081466748477574,0.42142632959999976,16.89138541679534,9036,,NOT_MODELED
vision_transformer,paper_optimum_8x8,linear_bit,1.0,ASWM-WS,WS,98,40.08704731601759,0.42142632959999976,16.893737214890812,9036,,NOT_MODELED
vision_transformer,paper_optimum_8x8,conservative_walden,0.0,ASWM-WS,WS,98,39.33888917072204,0.8428526591999995,33.156887347517134,24004,,NOT_MODELED
vision_transformer,paper_optimum_8x8,conservative_walden,0.5,ASWM-WS,WS,98,39.37261174573382,0.8428526591999995,33.185310509540884,20367,,NOT_MODELED
vision_transformer,paper_optimum_8x8,conservative_walden,1.0,ASWM-WS,WS,98,39.42024614903933,0.8428526591999995,33.22545929303634,15863,,NOT_MODELED
gpt2_medium,c8_r16,optimistic_constant_symbol,0.0,ASWM-WS,WS,145,76.87143713638244,2.2629842944000007,173.95885492759044,1,,NOT_MODELED
gpt2_medium,c8_r16,optimistic_constant_symbol,0.5,ASWM-WS,WS,145,76.88479153380722,2.2629842944000007,173.98907571922388,1,,NOT_MODELED
gpt2_medium,c8_r16,optimistic_constant_symbol,1.0,ASWM-WS,WS,145,76.89977541416378,2.2629842944000007,174.02298400513996,1,,NOT_MODELED
gpt2_medium,c8_r16,linear_bit,0.0,ASWM-WS,WS,145,136.71066138053746,2.2629842944000007,309.374079581193,61058,,NOT_MODELED
gpt2_medium,c8_r16,linear_bit,0.5,ASWM-WS,WS,145,136.72401577796228,2.2629842944000007,309.4043003728265,60578,,NOT_MODELED
gpt2_medium,c8_r16,linear_bit,1.0,ASWM-WS,WS,145,136.73899965831896,2.2629842944000007,309.4382086587429,60338,,NOT_MODELED
gpt2_medium,c8_r16,conservative_walden,0.0,ASWM-WS,WS,145,150.84038171890992,4.525968588800001,682.6988295823883,60338,,NOT_MODELED
