network,architecture,variant,slice_bits,energy_model,optical_loss_db_per_stage,accuracy_status,layers,energy_j,latency_s,edp_j_s
gpt2_medium,c8_r32,mbosa2,2,optimistic_constant_symbol,0.0,NOT_MODELED,145,102.0851124491042,4.5259685888000005,462.0340123287615
gpt2_medium,c8_r32,mbosa2,2,optimistic_constant_symbol,0.5,NOT_MODELED,145,102.13026289208639,4.5259685888000005,462.2383618154693
gpt2_medium,c8_r32,mbosa2,2,optimistic_constant_symbol,1.0,NOT_MODELED,145,102.19403958795507,4.5259685888000005,462.5270131376684
gpt2_medium,c8_r32,mbosa2,2,linear_bit,0.0,NOT_MODELED,145,112.06572596818043,4.5259685888000005,507.20595561305316
gpt2_medium,c8_r32,mbosa2,2,linear_bit,0.5,NOT_MODELED,145,112.11087641116262,4.5259685888000005,507.41030509976093
gpt2_medium,c8_r32,mbosa2,2,linear_bit,1.0,NOT_MODELED,145,112.1746531070313,4.5259685888000005,507.6989564219601
gpt2_medium,c8_r32,mbosa2,2,conservative_walden,0.0,NOT_MODELED,145,122.04633948725666,4.5259685888000005,552.3778988973448
gpt2_medium,c8_r32,mbosa2,2,conservative_walden,0.5,NOT_MODELED,145,122.09148993023885,4.5259685888000005,552.5822483840526
gpt2_medium,c8_r32,mbosa2,2,conservative_walden,1.0,NOT_MODELED,145,122.15526662610753,4.5259685888000005,552.8708997062517
alexnet,c4_r32,mbosa2,2,optimistic_constant_symbol,0.0,NOT_MODELED,8,1.336291052787631,0.06929633280000001,0.09260006951163406
alexnet,c4_r32,mbosa2,2,optimistic_constant_symbol,0.5,NOT_MODELED,8,1.3367743533837504,0.06929633280000001,0.09263356047058519
alexnet,c4_r32,mbosa2,2,optimistic_constant_symbol,1.0,NOT_MODELED,8,1.3374570336211073,0.06929633280000001,0.09268086770750907
alexnet,c4_r32,mbosa2,2,linear_bit,0.0,NOT_MODELED,8,1.5040697624503512,0.06929633280000001,0.1042265188131765
alexnet,c4_r32,mbosa2,2,linear_bit,0.5,NOT_MODELED,8,1.5045530630464703,0.06929633280000001,0.10426000977212761
alexnet,c4_r32,mbosa2,2,linear_bit,1.0,NOT_MODELED,8,1.5052357432838273,0.06929633280000001,0.10430731700905148
alexnet,c4_r32,mbosa2,2,conservative_walden,0.0,NOT_MODELED,8,1.671848472113071,0.06929633280000001,0.11585296811471892
alexnet,c4_r32,mbosa2,2,conservative_walden,0.5,NOT_MODELED,8,1.6723317727091902,0.06929633280000001,0.11588645907367003
alexnet,c4_r32,mbosa2,2,conservative_walden,1.0,NOT_MODELED,8,1.6730144529465474,0.06929633280000001,0.1159337663105939
gpt2_medium,c8_r16,mbosa4,4,optimistic_constant_symbol,0.0,NOT_MODELED,145,74.68859204929171,2.2629842944000003,169.01911077839588
gpt2_medium,c8_r16,mbosa4,4,optimistic_constant_symbol,0.5,NOT_MODELED,145,74.70194644671648,2.2629842944000003,169.0493315700293
gpt2_medium,c8_r16,mbosa4,4,optimistic_constant_symbol,1.0,NOT_MODELED,145,74.71693032707313,2.2629842944000003,169.08323985594558
gpt2_medium,c8_r16,mbosa4,4,linear_bit,0.0,NOT_MODELED,145,134.5278162934469,2.2629842944000003,304.4343354319988
gpt2_medium,c8_r16,mbosa4,4,linear_bit,0.5,NOT_MODELED,145,134.54117069087164,2.2629842944000003,304.46455622363214
gpt2_medium,c8_r16,mbosa4,4,linear_bit,1.0,NOT_MODELED,145,134.55615457122832,2.2629842944000003,304.4984645095485
gpt2_medium,c8_r16,mbosa4,4,conservative_walden,0.0,NOT_MODELED,145,353.93830518868253,2.2629842944000003,800.9568258285427
gpt2_medium,c8_r16,mbosa4,4,conservative_walden,0.5,NOT_MODELED,145,353.9516595861073,2.2629842944000003,800.9870466201762
gpt2_medium,c8_r16,mbosa4,4,conservative_walden,1.0,NOT_MODELED,145,353.96664346646395,2.2629842944000003,801.0209549060924
gpt2_medium,deap_high_channel,analog8,8,optimistic_constant_symbol,0.0,NOT_MODELED,145,57.99062824414601,1.1978145792000001,69.46201996780539
gpt2_medium,deap_high_channel,analog8,8,optimistic_constant_symbol,0.5,NOT_MODELED,145,57.99062824414601,1.1978145792000001,69.46201996780539
gpt2_medium,deap_high_channel,analog8,8,optimistic_constant_symbol,1.0,NOT_MODELED,145,57.99062824414601,1.1978145792000001,69.46201996780539
gpt2_medium,deap_high_channel,analog8,8,linear_bit,0.0,NOT_MODELED,145,76.44976697591113,1.1978145792000001,91.57264546018905
gpt2_medium,deap_high_channel,analog8,8,linear_bit,0.5,NOT_MODELED,145,76.44976697591113,1.1978145792000001,91.57264546018905
gpt2_medium,deap_high_channel,analog8,8,linear_bit,1.0,NOT_MODELED,145,76.44976697591113,1.1978145792000001,91.57264546018905
gpt2_medium,deap_high_channel,analog8,8,conservative_walden,0.0,NOT_MODELED,145,727.7936622253375,1.1978145792000001,871.7618592628696
gpt2_medium,deap_high_channel,analog8,8,conservative_walden,0.5,NOT_MODELED,145,727.7936622253375,1.1978145792000001,871.7618592628696
gpt2_medium,deap_high_channel,analog8,8,conservative_walden,1.0,NOT_MODELED,145,727.7936622253375,1.1978145792000001,871.7618592628696
resnet18,c4_r16,mbosa4,4,optimistic_constant_symbol,0.0,NOT_MODELED,21,2.5901102521033135,0.06476001280000002,0.16773557307962184
resnet18,c4_r16,mbosa4,4,optimistic_constant_symbol,0.5,NOT_MODELED,21,2.590445385418823,0.06476001280000002,0.16775727631742396
resnet18,c4_r16,mbosa4,4,optimistic_constant_symbol,1.0,NOT_MODELED,21,2.5908214111834766,0.06476001280000002,0.16778162775075606
resnet18,c4_r16,mbosa4,4,linear_bit,0.0,NOT_MODELED,21,4.892234031065874,0.06476001280000002,0.31682113847242166
resnet18,c4_r16,mbosa4,4,linear_bit,0.5,NOT_MODELED,21,4.892569164381383,0.06476001280000002,0.31684284171022375
resnet18,c4_r16,mbosa4,4,linear_bit,1.0,NOT_MODELED,21,4.892945190146037,0.06476001280000002,0.3168671931435559
resnet18,c4_r16,mbosa4,4,conservative_walden,0.0,NOT_MODELED,21,13.333354553928594,0.06476001280000002,0.8634682115793543
resnet18,c4_r16,mbosa4,4,conservative_walden,0.5,NOT_MODELED,21,13.333689687244101,0.06476001280000002,0.8634899148171562
resnet18,c4_r16,mbosa4,4,conservative_walden,1.0,NOT_MODELED,21,13.334065713008755,0.06476001280000002,0.8635142662504883
gpt2_medium,paper_optimum_8x8,analog8,8,optimistic_constant_symbol,0.0,NOT_MODELED,145,73.34324013669658,1.1314659328000003,82.98537761584181
gpt2_medium,paper_optimum_8x8,analog8,8,optimistic_constant_symbol,0.5,NOT_MODELED,145,73.34324013669658,1.1314659328000003,82.98537761584181
gpt2_medium,paper_optimum_8x8,analog8,8,optimistic_constant_symbol,1.0,NOT_MODELED,145,73.34324013669658,1.1314659328000003,82.98537761584181
gpt2_medium,paper_optimum_8x8,analog8,8,linear_bit,0.0,NOT_MODELED,145,353.6311014098296,1.1314659328000003,400.1215440237644
gpt2_medium,paper_optimum_8x8,analog8,8,linear_bit,0.5,NOT_MODELED,145,353.6311014098296,1.1314659328000003,400.1215440237644
gpt2_medium,paper_optimum_8x8,analog8,8,linear_bit,1.0,NOT_MODELED,145,353.6311014098296,1.1314659328000003,400.1215440237644
gpt2_medium,paper_optimum_8x8,analog8,8,conservative_walden,0.0,NOT_MODELED,145,10243.788492047524,1.1314659328000003,11590.49770156046
gpt2_medium,paper_optimum_8x8,analog8,8,conservative_walden,0.5,NOT_MODELED,145,10243.788492047524,1.1314659328000003,11590.49770156046
gpt2_medium,paper_optimum_8x8,analog8,8,conservative_walden,1.0,NOT_MODELED,145,10243.788492047524,1.1314659328000003,11590.49770156046
vision_transformer,compact_4x4,mbosa2,2,optimistic_constant_symbol,0.0,NOT_MODELED,98,49.74767493084052,0.8428526592,41.9299601044761
vision_transformer,compact_4x4,mbosa2,2,optimistic_constant_symbol,0.5,NOT_MODELED,98,49.81489372930663,0.8428526592,41.9866156475115
vision_transformer,compact_4x4,mbosa2,2,optimistic_constant_symbol,1.0,NOT_MODELED,98,49.909842805844455,0.8428526592,42.066643729159985
vision_transformer,compact_4x4,mbosa2,2,linear_bit,0.0,NOT_MODELED,98,79.57390959261384,0.8428526592,67.06908130307497
vision_transformer,compact_4x4,mbosa2,2,linear_bit,0.5,NOT_MODELED,98,79.64112839107995,0.8428526592,67.12573684611034
vision_transformer,compact_4x4,mbosa2,2,linear_bit,1.0,NOT_MODELED,98,79.73607746761778,0.8428526592,67.20576492775884
vision_transformer,compact_4x4,mbosa2,2,conservative_walden,0.0,NOT_MODELED,98,109.40014425438716,0.8428526592,92.20820250167381
vision_transformer,compact_4x4,mbosa2,2,conservative_walden,0.5,NOT_MODELED,98,109.46736305285326,0.8428526592,92.2648580447092
vision_transformer,compact_4x4,mbosa2,2,conservative_walden,1.0,NOT_MODELED,98,109.5623121293911,0.8428526592,92.34488612635771
