energy_model,optical_loss_db_per_stage,mapping,architecture,geometric_mean_edp,rank
linear_bit,0.0,Joint-ASWM,c8_r4,3.405210864012308,7
linear_bit,0.0,Joint-ASWM,compact_4x4,5.138164194518735,8
linear_bit,0.0,Mixed-1bit,c8_r32,5.788812889236487,1
linear_bit,0.0,Mixed-1bit,c8_r16,6.670693885138854,2
linear_bit,0.0,Mixed-1bit,paper_optimum_8x8,7.406576952513509,3
linear_bit,0.0,Mixed-1bit,c4_r32,7.763276616336124,4
linear_bit,0.0,Mixed-1bit,c4_r16,7.841442932031321,5
linear_bit,0.0,Mixed-1bit,c4_r8,8.101470920089517,6
linear_bit,0.0,Mixed-1bit,c8_r4,9.135063155413215,7
linear_bit,0.0,Mixed-1bit,compact_4x4,10.36319990392193,8
linear_bit,0.5,ASWM-IS,c8_r32,1.5288455458105712,1
linear_bit,0.5,ASWM-IS,c4_r32,2.8566456222049235,2
linear_bit,0.5,ASWM-IS,c8_r16,3.221655044325582,3
linear_bit,0.5,ASWM-IS,c4_r16,6.20587470703296,4
linear_bit,0.5,ASWM-IS,paper_optimum_8x8,6.90869624923893,5
linear_bit,0.5,ASWM-IS,c4_r8,17.620851812752672,6
linear_bit,0.5,ASWM-IS,c8_r4,18.262187353980575,7
linear_bit,0.5,ASWM-IS,compact_4x4,44.3513292414054,8
linear_bit,0.5,ASWM-WS,c8_r32,1.2937581974218169,1
linear_bit,0.5,ASWM-WS,c8_r16,1.5596666959272074,2
linear_bit,0.5,ASWM-WS,paper_optimum_8x8,2.101344111286762,3
linear_bit,0.5,ASWM-WS,c4_r32,2.157464042682905,4
linear_bit,0.5,ASWM-WS,c4_r16,2.224903135395276,5
linear_bit,0.5,ASWM-WS,c4_r8,3.0941666123151794,6
linear_bit,0.5,ASWM-WS,c8_r4,3.405769721528911,7
linear_bit,0.5,ASWM-WS,compact_4x4,5.1386092599287965,8
linear_bit,0.5,Joint-ASWM,c8_r32,0.9661973272369023,1
linear_bit,0.5,Joint-ASWM,c8_r16,1.3796140799196879,2
linear_bit,0.5,Joint-ASWM,c4_r32,1.675682627190756,3
linear_bit,0.5,Joint-ASWM,paper_optimum_8x8,2.101344111286762,4
linear_bit,0.5,Joint-ASWM,c4_r16,2.1302058412431526,5
linear_bit,0.5,Joint-ASWM,c4_r8,3.0941666123151794,6
linear_bit,0.5,Joint-ASWM,c8_r4,3.405769721528911,7
linear_bit,0.5,Joint-ASWM,compact_4x4,5.138609259928793,8
linear_bit,0.5,Mixed-1bit,c8_r32,5.799718445468594,1
linear_bit,0.5,Mixed-1bit,c8_r16,6.693610646534333,2
linear_bit,0.5,Mixed-1bit,paper_optimum_8x8,7.4572870799444475,3
linear_bit,0.5,Mixed-1bit,c4_r32,7.773019871149274,4
linear_bit,0.5,Mixed-1bit,c4_r16,7.863179712945766,5
linear_bit,0.5,Mixed-1bit,c4_r8,8.141306853760819,6
linear_bit,0.5,Mixed-1bit,c8_r4,9.22583310835119,7
linear_bit,0.5,Mixed-1bit,compact_4x4,10.435353107318074,8
linear_bit,1.0,ASWM-IS,c8_r32,1.5289252416476184,1
