network,architecture,energy_model,optical_loss_db_per_stage,layer,slice_bits,energy_j,latency_s,accuracy,accuracy_status
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/063,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/064,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/065,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/066,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/067,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/068,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/069,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/070,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/071,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/072,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/073,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/074,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/075,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/076,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/077,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/078,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/079,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/080,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/081,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/082,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/083,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/084,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/085,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/086,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/087,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/088,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/089,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/090,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/091,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/092,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/093,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/094,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/095,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/096,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/097,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/098,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/099,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/100,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/101,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/102,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/103,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/104,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/105,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/106,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/107,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/108,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/109,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/110,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/111,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/112,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/113,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/114,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/115,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/116,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/117,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/118,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/119,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/120,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/121,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/122,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/123,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/124,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/125,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/126,4,0.6000233920397793,0.0201326592,,NOT_MODELED
