network,architecture,energy_model,optical_loss_db_per_stage,mapping,stationarity,layers,energy_j,latency_s,edp_j_s,frontier_states,accuracy,accuracy_status,best_fixed_stationarity,best_fixed_slice_bits,fixed_edp_j_s,aswm_reduction_vs_best_fixed
mobilenet_v3,c4_r8,optimistic_constant_symbol,1.0,ASWM-WS,WS,64,0.5601990738868655,0.011430016000000006,0.0064030843777120585,1,,NOT_MODELED,WS,4,0.006403084377712053,-8.881784197001252e-16
mobilenet_v3,c4_r8,linear_bit,0.0,ASWM-WS,WS,64,1.5093395871282755,0.011430016000000006,0.017251775630309593,279737,,NOT_MODELED,WS,4,0.017251775630309586,-4.440892098500626e-16
mobilenet_v3,c4_r8,linear_bit,0.5,ASWM-WS,WS,64,1.5094618549225907,0.011430016000000006,0.0172531731531549,278292,,NOT_MODELED,WS,4,0.017253173153154878,-1.1102230246251565e-15
mobilenet_v3,c4_r8,linear_bit,1.0,ASWM-WS,WS,64,1.5095990416441778,0.011430016000000006,0.01725474119957763,274125,,NOT_MODELED,WS,4,0.01725474119957761,-1.1102230246251565e-15
mobilenet_v3,c4_r8,conservative_walden,0.0,ASWM-WS,WS,64,1.2875131380027833,0.022860032000000013,0.02943259153516406,269760,,NOT_MODELED,WS,2,0.029432591535164043,-6.661338147750939e-16
mobilenet_v3,c4_r8,conservative_walden,0.5,ASWM-WS,WS,64,1.2883408629771664,0.022860032000000013,0.029451513354565657,269993,,NOT_MODELED,WS,2,0.029451513354565632,-8.881784197001252e-16
mobilenet_v3,c4_r8,conservative_walden,1.0,ASWM-WS,WS,64,1.2895100555801033,0.022860032000000013,0.029478241134882958,270317,,NOT_MODELED,WS,2,0.029478241134882958,0.0
gpt2_medium,c4_r16,optimistic_constant_symbol,0.0,ASWM-WS,WS,145,122.13057054581897,2.2629842944000007,276.37956301129964,1,,NOT_MODELED,WS,4,276.37956301129924,-1.3322676295501878e-15
gpt2_medium,c4_r16,optimistic_constant_symbol,0.5,ASWM-WS,WS,145,122.14392494324358,2.2629842944000007,276.40978380293274,1,,NOT_MODELED,WS,4,276.4097838029326,-4.440892098500626e-16
gpt2_medium,c4_r16,optimistic_constant_symbol,1.0,ASWM-WS,WS,145,122.15890882360014,2.2629842944000007,276.44369208884876,1,,NOT_MODELED,WS,4,276.44369208884893,6.661338147750939e-16
gpt2_medium,c4_r16,linear_bit,0.0,ASWM-WS,WS,145,241.84139676318586,2.2629842944000007,547.2832826108488,63938,,NOT_MODELED,WS,4,547.2832826108488,0.0
gpt2_medium,c4_r16,linear_bit,0.5,ASWM-WS,WS,145,241.85475116061082,2.2629842944000007,547.3135034024826,63938,,NOT_MODELED,WS,4,547.3135034024823,-6.661338147750939e-16
gpt2_medium,c4_r16,linear_bit,1.0,ASWM-WS,WS,145,241.86973504096738,2.2629842944000007,547.3474116883987,63938,,NOT_MODELED,WS,4,547.3474116883984,-4.440892098500626e-16
gpt2_medium,c4_r16,conservative_walden,0.0,ASWM-WS,WS,145,235.75904372283608,4.525968588800001,1067.0380264150822,153139,,NOT_MODELED,WS,2,1067.038026415081,-1.1102230246251565e-15
gpt2_medium,c4_r16,conservative_walden,0.5,ASWM-WS,WS,145,235.84936241810374,4.525968588800001,1067.4468059928452,152802,,NOT_MODELED,WS,2,1067.4468059928463,1.1102230246251565e-15
gpt2_medium,c4_r16,conservative_walden,1.0,ASWM-WS,WS,145,235.97694096615157,4.525968588800001,1068.0242224939143,151791,,NOT_MODELED,WS,2,1068.0242224939147,4.440892098500626e-16
